English,Türkçe
municipal,belediye
deposit,Depozito
transport,Ulaşım
dough,Hamur
voluntary,gönüllü
journalism,gazetecilik
any,hiç
impulse,dürtü
policeman,polis
objection,itiraz
thrive,gelişmek
cling,yapışan
unhappy,mutsuz
rally,ralli
scratch,kaşımak
robot,robot
conversion,dönüştürmek
supermarket,süpermarket
blink,Göz kırpmak
philosophical,felsefi
happily,mutlulukla
thread,iplik
allegedly,iddiaya göre
ash,kül
dynamics,dinamik
denial,inkar
riot,isyan
soar,yükselmek
mentor,akıl hocası
beard,sakal
widow,dul
offender,suçlu
apart,ayrı
instant,ani
routinely,rutin olarak
butt,çan
forbid,yasaklamak
bomb,bomba
migration,göç
carrot,havuç
harmony,uyuşma
downtown,şehir merkezi
brutal,vahşi
prevail,hakim olmak
exhaust,egzoz
pasta,makarna
distinctive,ayırt edici
fraction,fraksiyon
remark,söz
emotionally,duygusal olarak
poke,dürtmek
guarantee,garanti
dancing,dans
trouble,bela
freshman,birinci sınıf öğrencisi
suitable,uygun
youngster,genç
slavery,kölelik
balloon,balon
opt,seçmek
crowded,kalabalık
liver,karaciğer
listener,dinleyici
calm,sakinlik
ironically,ironik olarak
affirmative,olumlu
commodity,emtia
fur,kürk
freely,serbestçe
light,ışık
removal,kaldırma
regard,saygınlık
round,yuvarlak
goat,keçi
shareholder,hissedar
expedition,sefer
loyal,sadık
conscience,vicdan
fragile,kırılgan
calendar,takvim
mineral,mineral
coming,gelen
circle,daire
fare,Ücret
blessing,nimet
steak,Biftek
liquid,sıvı
ecological,ekolojik
banana,muz
catch,tutmak
steadily,istikrarlı bir şekilde
nonprofit,kar amacı gütmeyen kuruluş
mobile,hareketli
straw,Saman
projection,projeksiyon
overnight,bir gecede
neighboring,komşu
enact,sahnelemek
severely,şiddetli
demographic,demografik
terrain,arazi
explicit,açık
integrated,Birleşik
veteran,kıdemli
level,seviyesi
sofa,divan
screw,vida
shield,kalkan
Iraqi,Irak
perceived,algılanan
cruel,zalim
bomber,bombardıman uçağı
autonomy,özerklik
publishing,yayıncılık
retreat,geri çekilmek
theology,teoloji
mansion,konak
developmental,gelişim
one-third,üçte bir
transmit,aktarmak
contemplate,düşünmek
authorize,yetki vermek
battle,savaş
old-fashioned,eski moda
lawmaker,milletvekili
threshold,eşik
radar,radar
low,düşük
headache,baş ağrısı
rental,kira
spy,casus
driveway,araba yolu
till,kadar
broadcast,yayın
overwhelm,kaplamak
coordinate,koordinat
vendor,SATICI
transport,Ulaşım
fragment,parça
hammer,çekiç
seminar,seminer
availability,kullanılabilirlik
peanut,fıstık
fantastic,harika
depart,ayrılmak
cottage,kır evi
specify,belirtmek
frustrate,hayal kırıklığına uğratmak
disturbing,rahatsız edici
artifact,artefakt
basin,havza
grape,üzüm
ego,benlik
sometime,bazen
organized,organize edilmiş
charm,cazibe
sweater,Kazak
rim,jant
speculate,spekülasyon yapmak
delight,zevk
devastating,yıkıcı
instructional,öğretim
plea,savunma
tourism,turizm
crowd,kalabalık
warmth,sıcaklık
jurisdiction,yargı yetkisi
update,Güncelleme
accusation,suçlama
diagram,diyagram
middle-class,orta sınıf
graduation,mezuniyet
mention,Anma
beyond,öte
within,içinde
spark,kıvılcım
convenience,kolaylık
chill,soğuk
economically,ekonomik olarak
undergraduate,lisans
dictate,dikte
regulator,regülatör
defender,savunucu
accurately,doğruca
tile,fayans
foreigner,yabancı
importantly,önemlisi
citizenship,vatandaşlık
plaza,plaza
devise,tasarlamak
premium,ödül
chemistry,kimya
bureaucracy,bürokrasi
inherent,doğal
hazard,tehlike
swell,kabarma
bride,gelin
bow,yay
processor,işlemci
bucket,Kova
timber,kereste
feminist,feminist
till,kadar
tumor,tümör
screening,tarama
arrow,ok
marker,işaretleyici
sunny,güneşli
homework,ev ödevi
fog,sis
mortality,mortalite
flying,uçan
skilled,yetenekli
sprinkle,serpmek
cue,isteka
epidemic,epidemi
articulate,ifade
rehabilitation,rehabilitasyon
diplomat,diplomat
transit,taşıma
militia,milis
kneel,diz çökmek
fatal,ölümcül
twist,bükmek
compelling,zorlayıcı
praise,övmek
copy,kopya
well-being,refah
laundry,çamaşır
screen,ekran
confession,itiraf
twentieth,yirminci
dense,yoğun
accelerate,hızlanmak
tribute,takdir
smoking,sigara içmek
aboard,gemide
entertain,eğlendirmek
scrutiny,inceleme
bizarre,tuhaf
bargain,pazarlık etmek
deeper,Daha derine
drown,bastırmak
biography,biyografi
naval,deniz
skeptical,şüpheci
shorts,şort
lens,lens
spit,tükürmek
sexuality,cinsellik
warehouse,depo
paradise,cennet
nominate,aday göstermek
developed,gelişmiş
campaign,kampanya
unfortunate,talihsiz
grandchild,torun
tenure,görev süresi
preach,vaaz vermek
stereotype,stereotip
bulb,ampul
weave,örmek
merger,birleşme
inadequate,yetersiz
objective,amaç
