English,Türkçe
municipal,belediye
strain,Gerginlik
deposit,Depozito
transport,Ulaşım
dough,Hamur
lid,kapak
voluntary,gönüllü
journalism,gazetecilik
any,hiç
impulse,dürtü
policeman,polis
objection,itiraz
thrive,gelişmek
privately,özel olarak
cling,yapışan
halfway,yarıya kadar
unhappy,mutsuz
rally,ralli
scratch,kaşımak
robot,robot
conversion,dönüştürmek
supermarket,süpermarket
blink,Göz kırpmak
philosophical,felsefi
happily,mutlulukla
thread,iplik
allegedly,iddiaya göre
ash,kül
dynamics,dinamik
denial,inkar
riot,isyan
soar,yükselmek
mentor,akıl hocası
beard,sakal
widow,dul
offender,suçlu
landmark,dönüm noktası
apart,ayrı
instant,ani
routinely,rutin olarak
butt,çan
forbid,yasaklamak
bomb,bomba
migration,göç
carrot,havuç
harmony,uyuşma
downtown,şehir merkezi
brutal,vahşi
prevail,hakim olmak
weed,esrar
exhaust,egzoz
pasta,makarna
distinctive,ayırt edici
fraction,fraksiyon
remark,söz
emotionally,duygusal olarak
poke,dürtmek
guarantee,garanti
dancing,dans
trouble,bela
freshman,birinci sınıf öğrencisi
suitable,uygun
youngster,genç
slavery,kölelik
balloon,balon
opt,seçmek
crowded,kalabalık
liver,karaciğer
listener,dinleyici
calm,sakinlik
ironically,ironik olarak
affirmative,olumlu
commodity,emtia
fur,kürk
freely,serbestçe
light,ışık
removal,kaldırma
regard,saygınlık
round,yuvarlak
goat,keçi
shareholder,hissedar
expedition,sefer
loyal,sadık
conscience,vicdan
fragile,kırılgan
calendar,takvim
mineral,mineral
coming,gelen
circle,daire
fare,Ücret
blessing,nimet
liberation,kurtuluş
steak,Biftek
liquid,sıvı
ecological,ekolojik
banana,muz
catch,tutmak
steadily,istikrarlı bir şekilde
blast,üfleme
nonprofit,kar amacı gütmeyen kuruluş
mobile,hareketli
straw,Saman
projection,projeksiyon
rubber,lastik
overnight,bir gecede
neighboring,komşu
enact,sahnelemek
favorable,elverişli
severely,şiddetli
demographic,demografik
terrain,arazi
explicit,açık
integrated,Birleşik
terribly,çok
veteran,kıdemli
level,seviyesi
sofa,divan
screw,vida
shield,kalkan
invention,buluş
Iraqi,Irak
perceived,algılanan
leave,ayrılmak
cruel,zalim
bomber,bombardıman uçağı
provoke,kışkırtmak
autonomy,özerklik
publishing,yayıncılık
retreat,geri çekilmek
theology,teoloji
substantially,esasen
mansion,konak
developmental,gelişim
one-third,üçte bir
transmit,aktarmak
contemplate,düşünmek
authorize,yetki vermek
mathematics,matematik
battle,savaş
old-fashioned,eski moda
lawmaker,milletvekili
threshold,eşik
radar,radar
seldom,nadiren
low,düşük
headache,baş ağrısı
rental,kira
spy,casus
patron,patron
driveway,araba yolu
till,kadar
broadcast,yayın
overwhelm,kaplamak
coordinate,koordinat
vendor,SATICI
transport,Ulaşım
fragment,parça
hammer,çekiç
seminar,seminer
availability,kullanılabilirlik
peanut,fıstık
fantastic,harika
depart,ayrılmak
permit,izin vermek
cottage,kır evi
specify,belirtmek
frustrate,hayal kırıklığına uğratmak
disturbing,rahatsız edici
artifact,artefakt
basin,havza
regain,yeniden kazanmak
grape,üzüm
ego,benlik
sometime,bazen
organized,organize edilmiş
charm,cazibe
sweater,Kazak
rim,jant
speculate,spekülasyon yapmak
delight,zevk
fatigue,tükenmişlik
devastating,yıkıcı
instructional,öğretim
plea,savunma
tourism,turizm
crowd,kalabalık
warmth,sıcaklık
jurisdiction,yargı yetkisi
update,Güncelleme
accusation,suçlama
diagram,diyagram
middle-class,orta sınıf
graduation,mezuniyet
mention,Anma
beyond,öte
within,içinde
spark,kıvılcım
convenience,kolaylık
chill,soğuk
economically,ekonomik olarak
undergraduate,lisans
dictate,dikte
regulator,regülatör
defender,savunucu
workout,antrenman yapmak
accurately,doğruca
tile,fayans
foreigner,yabancı
importantly,önemlisi
citizenship,vatandaşlık
plaza,plaza
devise,tasarlamak
premium,ödül
chemistry,kimya
bureaucracy,bürokrasi
inherent,doğal
hazard,tehlike
swell,kabarma
bride,gelin
bow,yay
processor,işlemci
bucket,Kova
timber,kereste
feminist,feminist
till,kadar
tumor,tümör
apology,özür
screening,tarama
arrow,ok
marker,işaretleyici
sunny,güneşli
technician,teknisyen
homework,ev ödevi
fog,sis
soak,emmek
mortality,mortalite
flying,uçan
accountability,Hesap verebilirlik
skilled,yetenekli
straighten,düzeltmek
sprinkle,serpmek
cue,isteka
epidemic,epidemi
articulate,ifade
rehabilitation,rehabilitasyon
diplomat,diplomat
ribbon,kurdele
transit,taşıma
militia,milis
kneel,diz çökmek
seller,satıcı
fatal,ölümcül
twist,bükmek
compelling,zorlayıcı
praise,övmek
copy,kopya
well-being,refah
laundry,çamaşır
screen,ekran
confession,itiraf
twentieth,yirminci
dense,yoğun
accelerate,hızlanmak
tribute,takdir
smoking,sigara içmek
aboard,gemide
marble,mermer
entertain,eğlendirmek
boring,sıkıcı
scrutiny,inceleme
bizarre,tuhaf
bargain,pazarlık etmek
deeper,Daha derine
drown,bastırmak
biography,biyografi
naval,deniz
nationwide,ülke çapında
skeptical,şüpheci
shorts,şort
lens,lens
spit,tükürmek
sexuality,cinsellik
rape,tecavüz etmek
warehouse,depo
paradise,cennet
nominate,aday göstermek
developed,gelişmiş
campaign,kampanya
unfortunate,talihsiz
grandchild,torun
tenure,görev süresi
preach,vaaz vermek
slot,yuva
stereotype,stereotip
bulb,ampul
weave,örmek
merger,birleşme
inadequate,yetersiz
objective,amaç
electronics,elektronik
